Key;Type;Desc;English;Vietnamese [vi]
Block/CookingStand_Purifier_Two;Text;;Advanced purifier@Can purify several cups of water at once. Does not require fuel.;Máy lọc nước xịn@Có thể lọc vài cốc nước biển thành vài cốc nước ngọt. Không yêu cầu nhiên liệu.
Block/CookingStand_Smelter;Text;;Smelter@Can smelt metal ore, sand and seaweed.;Lò nung@Có thể nung chảy quặng kim loại, cát và rong biển.
Block/CookingStand_Smelter_Electric;Text;;Electric Smelter@Can smelt metal ore, sand and seaweed. With electricity!;Lò nung điện@Có thể nung chảy quặng kim loại, cát và rong biển.. Nhưng mà với điện!
Block/Cropplot_Grass;Text;;Grass plot@Add water, get grass, feed animals.;Cỏ@Thêm nước, thu cỏ, và dùng để nuôi mấy con thú vật bạn bắt được.
Block/Cropplot_Large;Text;;Large crop plot@Lets you grow trees.;Khay đất lớn@Để bạn trồng cây.
Block/Cropplot_Large_Tier3;Text;;Advanced large crop plot@A fancier plot that lets you grow trees.;Khay đất lớn xịn@Một cái thùng to và đẹp để bạn trồng nhiều cây.
Block/Cropplot_Medium;Text;;Medium crop plot@Lets you grow bigger plants.;Khay đất vừa@Để bạn trồng mấy.
Block/Cropplot_Medium_Tier3;Text;;" Advanced medium crop plot@A fancier plot that lets you grow more bigger plants.";Khay đất vừa xịn@Một cái thùng to và đẹp để bạn trồng nhiều cây.
Block/Cropplot_Shoe;Text;;Old shoe@Maybe you could plant something in this...;Giày cũ@Bạn có thể trồng thứ gì đó trong này đấy...
Block/Cropplot_Small;Text;;Small crop plot@Lets you grow plants.;Khay đất nhỏ@Để bạn trồng cây...nhỏ.
Block/Cropplot_Small_Tier3;Text;;Advanced small crop plot@A fancier plot that lets you grow more plants.;Khay đất nhỏ xịn@Để bạn trồng nhiều cây...nhỏ hơn.
Block/Cupboard;Text;;Cupboard@A decorative piece with minor storage.;Tủ@Một vật trang trí với không gian lưu trữ nhỏ.
Block/Curtain;Text;;Curtain@Keeps the monsters from coming in.;Rèm@Giữ cho lũ quái vật không vào được.
Block/Cutlery;Text;;Cutlery@Where is the spoon?;Dao nĩa@Còn cái thìa đâu?
Block/DetailPlank;Text;;Detail plank@Adds details to your raft design.;Ván gỗ chi tiết@Thêm chi tiết vào trang trí bè cho bạn.
Block/Door_Thatch;Text;;Thatch door@Provides support for additional floors.;Cửa bằng lá@Dùng làm cửa.
Block/Door_Tier3;Text;;Solid wooden door@Provides support for additional floors.;Cửa gỗ kiên cố@Dùng làm cửa.
Block/Door_Wood;Text;;Wooden door@Provides support for additional floors.;Cửa gỗ@Dùng làm cửa.
Block/DrawBridgeLong;Text;;Long draw bridge@Connects two parts of your raft.;Cầu dài@Kết nối hai phần bè của bạn
Block/DrawBridgeShort;Text;;Short draw bridge@Connects two parts of your raft.;Cầu ngắn@Kết nối hai phần bè của bạn
Block/ElectricPurifier;Text;;Electric purifier@Can be connected with waterpipes!;Máy lọc nước điện@Có thể được kết nối với ống nước!
Block/EngineControls;Text;;Engine controls@Allows you to control the advanced anchor and all engines from one spot.;Điều khiển động cơ@Cho phép bạn điều khiển mỏ neo nâng cao và tất cả các động cơ.
Block/Fence_Plank;Text;;Plank fence@Keeps you from falling off your raft.;Rào chắn bằng ván@Giúp bạn không bị rơi khỏi bè.
Block/Fence_Rope;Text;;Rope fence@Keeps you from falling off your raft.;Rào chắn bằng dây@Giúp bạn không bị rơi khỏi bè.
Block/Fence_Tier3;Text;;Solid wooden fence@Keeps you from falling off your raft.;Rào chắn bằng gỗ xịn@Giúp bạn không bị rơi khỏi bè.
Block/Figurine_Chicken;Text;;Clucker@Spawns a clucker.;Con Gà@Là một con gà?
Block/Figurine_Goat;Text;;Goat@Spawns a goat.;Con dê@kiên cố là con dê.
Block/Figurine_Llama;Text;;Llama@Spawns a llama.;Lạc đà không bướu@Nó là con lạc đà..không có bướu.
Block/FireBasket;Text;;Fire basket@Warm and cozy.;Giỏ lửa@Đẹp và ấm.
Block/Fireplace;Text;;Fireplace@Warm and cozy.;Lò sưởi@Đẹp và ấm.
Block/FirewoodRack;Text;;Firewood rack@Stores wood like nothing you have seen before.;Giá đựng củi@Dùng để đựng gỗ chứ gì nữa.
Block/Firework;Text;;Firework@Can be painted when placed on the raft.;Pháo hoa@Bắn bùm chíu, háp pi bớt đây chu du.
Block/Flag;Text;;Flag@Every raft needs at least one of these.;Cờ@Chiếc bè nào cũng cần có một cái.
Block/Floor_Tier3;Text;;Solid wooden floor@Used to build additional floors and roof. Cannot be built in thin air.;Sàn gỗ kiên cố@Dùng làm sàn....nó còn chắc nữa.
Block/Floor_Triangular_Tier3;Text;;Triangular solid wooden floor@Used to build additional floors and roof. Cannot be built in thin air.;Sàn gỗ kiên cố tam giác@Dùng cho mấy chỗ góc cạnh á.
Block/Floor_Triangular_Wood;Text;;Triangular wooden floor@Used to build additional floors and roof. Cannot be built in thin air.;Sàn gỗ tam giác@Dùng cho mấy chỗ góc cạnh á.
Block/Floor_Wood;Text;;Wooden floor@Used to build additional floors and roof. Cannot be built in thin air.;Sàn gỗ@Dùng làm sàn.
Block/Flower_AloeVera;Text;;Aloe Vera@Green and slimy.;Nha đam@Xanh và nhầy nhụa.
Block/Flower_Cactus;Text;;Cactus@Ouch!;Xương rồng@Úi! Coi chừng nó đâm á.
Block/Flower_Hibiscus;Text;;Hibiscus@The flowers are trumpet shaped.;Hoa dâm bụt@Loài hoa nhìn như cái kèn.
Block/Flower_Monstera;Text;;Monstera@Big and beautiful.;Cây lá nhiệt đới@Bự và đẹp, dùng trang trí.
Block/Flower_Rose;Text;;Rose@Smells amazing.;Hoa hồng@Mùi hương quyến rũ. Ơ mây zing!
Block/Flower_Sunflower;Text;;Sunflower@Yellow, like a sun.;Hoa hướng dương@Nghe tên biết liền.
Block/FoundationArmor;Text;;Foundation armor@Provides extra protection for your foundation.;Giáp móng@Bảo vệ tuyệt đối cho bè, lũ cá mập ko gặm được.
Block/FoundationCounter;Text;;Foundation counter@Keeps track of your foundations, so you don't have to.;Bộ đếm móng@Dùng để xem số móng mà bạn đã dùng để xây bè.
Block/Foundation_Tier3;Text;;Solid foundation@Used to expand your raft on the bottom floor.;Móng kiên cố@Được sử dụng để mở rộng bè.
Block/Foundation_Triangular_Tier3;Text;;Triangular solid foundation@Used to expand your raft on the bottom floor.;Móng tam giác kiên cố@Được sử dụng để mở rộng bè.
Block/Foundation_Triangular_Wood;Text;;Triangular foundation@Used to expand your raft on the bottom floor.;Móng tam giác@Được sử dụng để mở rộng bè.
Block/Foundation_Wood;Text;;Foundation@Used to expand your raft on the bottom floor.;Móng@Được sử dụng để mở rộng bè.
Block/Fridge;Text;;Fridge@Can store food, and anything else.;Tủ lạnh@Nó là 1 cái tủ lạnh.
Block/FuelTank;Text;;Fuel tank@Specially designed to store biofuel.;Thùng chứa xăng@Được thiết kế đặc biệt để chứa nhiên liệu sinh học.
Block/Gate_Thatch;Text;;Thatch gate@Provides support for additional floors.;Cổng bằng lá@Dùng làm cổng.
Block/Gate_Tier3;Text;;Solid wooden gate@Provides support for additional floors.;Cổng gỗ kiên cố@Dùng làm cổng.
Block/Gate_Wood;Text;;Wooden gate@Provides support for additional floors.;Cổng gỗ@Dùng làm cổng.
Block/HalfFloor_Tier3;Text;;Raised solid floor@A floor half the height of a wall.;Nâng sàn kiên cố@Nâng cao bằng cỡ nửa bức tường.
Block/HalfFloor_Triangular_Tier3;Text;;Triangular raised solid floor@A floor half the height of a wall.;Nâng sàn kiên cố tam giác@Nâng cao bằng cỡ nửa bức tường.
Block/HalfFloor_Triangular_Wood;Text;;Triangular raised floor@A floor half the height of a wall.;Nâng sàn tam giác@Nâng cao bằng cỡ nửa bức tường.
Block/HalfFloor_Wood;Text;;Raised floor@A floor half the height of a wall.;Nâng sàn@Nâng cao bằng cỡ nửa bức tường.
Block/HalfPillar_Tier3;Text;;Solid half wooden pillar@Provides support for additional floors.;Cột gỗ nhỏ kiên cố@Dùng trong xây dựng.
Block/HalfPillar_Wood;Text;;Half wooden pillar@Provides support for additional floors.;Cột gỗ nhỏ@Dùng trong xây dựng.
Block/HalfStair_Tier3;Text;;Solid half stair@Allows you to reach half a wall height up.;Thang nhỏ kiên cố@Dùng trong xây dựng.
Block/HalfStair_Wood;Text;;Half stair@Allows you to reach half a wall height up.;Thang nhỏ@Dùng trong xây dựng.
Block/HalfWall_Thatch;Text;;Half thatch wall@Provides support for additional floors.;Tường lá nhỏ@Dùng trong xây dựng.
Block/HalfWall_Tier3;Text;;Solid half wooden wall@Provides support for additional floors.;Tường gỗ nhỏ kiên cố@Dùng trong xây dựng.
Block/HalfWall_Wood;Text;;Half wooden wall@Provides support for additional floors.;Tường gỗ nhỏ@Dùng trong xây dựng.
Block/HonkHorn1;Text;;Air horn@Makes a sound to annoy your friends.;Kèn hơi@Khiến cho lũ bạn khó chịu với cái tiếng ồn nó tạo ra.
Block/HonkHorn2;Text;;Honk horn@Makes a sound to annoy your friends.;Cái còi@Khiến cho lũ bạn khó chịu với cái tiếng ồn nó tạo ra.
Block/HonkHorn3;Text;;Viking horn@Makes a sound to annoy your friends.;Còi Viking@Khiến cho lũ bạn khó chịu với cái tiếng ồn nó tạo ra.
Block/HorizontalHalfPillar_Tier3;Text;;Horizontal solid half wooden pillar@Provides support for additional floors.;Xà ngang kiên cố@Dùng trong xây dựng.
Block/HorizontalHalfPillar_Wood;Text;;Horizontal half wooden pillar@Provides support for additional floors.;Xà ngang@Dùng trong xây dựng.
Block/HorizontalPillar_Tier3;Text;;Horizontal solid wooden pillar@Provides support for additional floors.;Xà ngang gỗ kiên cố@Dùng trong xây dựng.
Block/HorizontalPillar_Wood;Text;;Horizontal wooden pillar@Provides support for additional floors.;Xà ngang gỗ@Dùng trong xây dựng.
Block/ItemNet;Text;;Simple collection net@Automatically catches items that float into it.;Lưới gom rác@Tự động bắt các vật phẩm trôi vào đó.
Block/ItemNet_Two;Text;;Advanced collection net@Automatically catches items that float into it. Can contain more items then a simlpe collection net.;Lưới gom rác xịn@Tự động bắt các vật phẩm trôi vào đó. Chứa được nhiều vật phẩm hơn lưới gom rác thường.
Block/Juicer;Text;;Juicer@Combines base food into amazing drinks.;Máy xay sinh tố@Kết hợp đồ ăn để tạo ra sinh tố.
Block/Ladder;Text;;Ladder@A good way to go up and down.;Thang@Dùng để leo lên leo xuống.
Block/Ladder_Half;Text;;Half ladder@A good way to go up and down.;Thang nhỏ@Dùng để leo lên leo xuống.
Block/Ladder_Tier3;Text;;Solid ladder@A good way to go up and down.;Thang kiên cố@Dùng để leo lên leo xuống.
Block/Ladder_Tier3_Half;Text;;Solid half ladder@A good way to go up and down.;Thang nhỏ kiên cố@Dùng để leo lên leo xuống.
Block/Lantern;Text;;Lantern@Lights up the dark.;Đèn@Thắp sáng màn đêm đen tối.
Block/Lantern_Metal;Text;;Metal lantern@Lights up the dark.;Đèn kim loại@Thắp sáng màn đêm đen tối.
Block/MajorTom;Text;;Major Tom@Not the best astronaut, but not the worst.;Thiếu tá Tom@Không phải là phi hành gia giỏi nhất, nhưng cũng không phải là người tệ nhất.
Block/MotivationalQuote;Text;;Motivational quote@Teasingly perfect...;Bảng Trích dẫn@Để cà khịa thì hoàn hảo ...
Block/MotorWheel;Text;;Engine@Allows you to go in different directions and increases your speed.;Động cơ@Cho phép di chuyển theo các hướng khác nhau và tăng tốc độ.
Block/Mug;Text;;Mug@Useful for all beverages.;Cốc@Hữu ích cho tất cả các loại đồ uống.
Block/OpenBook;Text;;Open book@An open book for anyone to read.;Sách đã mở@Dành cho ai muốn đọc.
Block/Outhouse;Text;;Outhouse@Not as smelly as one would think.;Bệ xí@Không có mùi như người ta nghĩ.
Block/PaintMill;Text;;Paint mill@Used to turn flowers into paint. Uses water energy to work.;Máy chế sơn@Dùng để biến hoa thành sơn. Sử dụng năng lượng nước để hoạt động.
Block/Painting;Text;;Painting@A decorative piece.;Tranh@Dùng để trang trí.
Block/Painting_Tangaroa;Text;;Tangaroa painting@A painting from Tangaroa.;Tranh Tangaroa@Một bức tranh từ Tangaroa.
Block/PaperBundle;Text;;Paper bundle@Rough, stiff and boring.;Xấp giấy@Thô, cứng và nhàm chán.
Block/Piano;Text;;Piano@Become a real beet-hoven.;Đàn Piano@Trở thành một Beethoven thứ hai.
Block/Pillar_Tier3;Text;;Solid wooden pillar@Provides support for additional floors.;Cột gỗ kiên cố@Dùng trong xây dựng.
Block/Pillar_Wood;Text;;Wooden pillar@Provides support for additional floors.;Cột gỗ@Dùng trong xây dựng.
Block/Pipe_Fuel;Text;;Fuel pipe@Useful for transporting biofuel between different machines.;Ống dẫn xăng@Hữu ích cho việc vận chuyển nhiên liệu sinh học giữa các máy khác nhau.
Block/Pipe_Water;Text;;Water pipe@Useful for transporting water between different machines.;Ống dẫn Nước@Hữu ích cho việc vận chuyển nước giữa các máy khác nhau.
Block/Plushie;Text;;Plushie@Soft and adorable!;Thú nhồi bông@Mềm và dễ thương.
Block/Quill;Text;;Quill@The feather is sooo soft.;"Bút Lông nhím@Coi bộ lông này""mềm quá"" =))"
Block/RBPainting_Andre;Text;;Man And Moon@A remnant of a mysterious collective.;Người đàn ông và Mặt trăng@Tàn dư của một bộ sưu tập bí ẩn.
Block/RBPainting_Ellen;Text;;The Pot@A remnant of a mysterious collective.;Cái nồi@Tàn dư của một bộ sưu tập bí ẩn.
Block/RBPainting_Felicia;Text;;After The Rain@A remnant of a mysterious collective.;Sau cơn mưa@Tàn dư của một bộ sưu tập bí ẩn.
Block/RBPainting_Gabriel;Text;;Octohenge@A remnant of a mysterious collective.;Octohenge@Tàn dư của một bộ sưu tập bí ẩn.
Block/RBPainting_Illayda;Text;;Neighbors Dog @A remnant of a mysterious collective.;Chó nhà hàng xóm @Tàn dư của một bộ sưu tập bí ẩn.
Block/RBPainting_Petter;Text;;Real Self Portrait@A remnant of a mysterious collective.;Chân dung tự sướng@Tàn dư của một bộ sưu tập bí ẩn.
Block/RBPainting_Semih;Text;;What Even Is?@A remnant of a mysterious collective.;Cái đấy gì đeo?@Tàn dư của một bộ sưu tập bí ẩn.
Block/RBPainting_William;Text;;Foul Fogs@A remnant of a mysterious collective.;Sương mù@Tàn dư của một bộ sưu tập bí ẩn.
Block/Radio;Text;;Radio@Unsure if it is functional.;Vô tuyến@Không chắc là còn hoạt động.
Block/Reciever;Text;;Receiver@Used to locate nearby radio signals.;Máy dò tín hiệu@Được sử dụng để xác định vị trí các tín hiệu vô tuyến gần đó.
Block/Recycler;Text;;Recycler@Combines basic resources into trading post currency.;Máy tái chế@Tái chế các tài nguyên cơ bản thành tiền tệ dùng cho trạm giao dịch.
Block/Repair;Text;;Repair@Repair damaged building parts.;Sửa chữa@Sửa chữa các những thứ xây dựng bị hỏng.
Block/ResearchTable;Text;;Research table@Used to research new items to craft.;Bàn nghiên cứu@Được sử dụng để nghiên cứu các vật phẩm mới để chế tạo.
Block/Roof_Corner_Thatch;Text;;Thatch roof corner@Covers your head.;Góc mái tranh@Che nắng che mưa.
Block/Roof_Corner_Tier3;Text;;Solid wooden roof corner@Covers your head.;Góc mái gỗ kiên cố@Che nắng che mưa.
Block/Roof_Corner_Wood;Text;;Wooden roof corner@Covers your head.;Góc mái gỗ@Che nắng che mưa.
Block/Roof_EndCap_Thatch;Text;;Thatch roof endcap@Covers your head.;Mái tranh@Che nắng che mưa.
Block/Roof_EndCap_Tier3;Text;;Solid wooden roof endcap@Covers your head.;Mái gỗ kiên cố@Che nắng che mưa.
Block/Roof_EndCap_Wood;Text;;Wooden roof endcap@Covers your head.;Mái gỗ@Che nắng che mưa.
Block/Roof_InvCorner_Thatch;Text;;Inverted thatch roof corner@Covers your head.;Góc mái tranh ngược@Che nắng che mưa.
Block/Roof_InvCorner_Tier3;Text;;Inverted solid wooden roof corner@Covers your head.;Góc mái gỗ kiên cố ngược@Che nắng che mưa.
Block/Roof_InvCorner_Wood;Text;;Inverted wooden roof corner@Covers your head.;Góc mái gỗ ngược@Che nắng che mưa.
Block/Roof_LJunction_Thatch;Text;;Thatch L-junction@Covers your head.;Miếng L tranh@Che nắng che mưa.
Block/Roof_LJunction_Tier3;Text;;Solid wooden L-junction@Covers your head.;Miếng L gỗ kiên cố@Che nắng che mưa.
Block/Roof_LJunction_Wood;Text;;Wooden L-junction@Covers your head.;Miếng L gỗ@Che nắng che mưa.
Block/Roof_Pyramid_Thatch;Text;;Thatch roof pyramid@Covers your head.;Mái kim tự tháp tranh@Che nắng che mưa.
Block/Roof_Pyramid_Tier3;Text;;Solid wooden roof pyramid@Covers your head.;Mái kin tự tháp gỗ kiên cố@Che nắng che mưa.
Block/Roof_Pyramid_Wood;Text;;Wooden roof pyramid@Covers your head.;Mái kim tự tháp gỗ@Che nắng che mưa.
Block/Roof_StraightV_Thatch;Text;;Thatch double roof@Covers your head.;Mái tranh đôi@Che nắng che mưa.
Block/Roof_StraightV_Tier3;Text;;Solid wooden double roof@Covers your head.;Mái gỗ kiên cố đôi@Che nắng che mưa.
Block/Roof_StraightV_Wood;Text;;Wooden double roof@Covers your head.;Mái gỗ đôi@Che nắng che mưa.
Block/Roof_Straight_Thatch;Text;;Thatch roof@Covers your head.;Mái tranh@Che nắng che mưa.
Block/Roof_Straight_Tier3;Text;;Solid wooden roof@Covers your head.;Mái gỗ kiên cố@Che nắng che mưa.
Block/Roof_Straight_Wood;Text;;Wooden roof@Covers your head.;Mái gỗ@Che nắng che mưa.
Block/Roof_TJunction_Thatch;Text;;Thatch T-junction@Covers your head.;Miếng T tranh@Che nắng che mưa.
Block/Roof_TJunction_Tier3;Text;;Solid wooden T-junction@Covers your head.;Miếng T gỗ kiên cố@Che nắng che mưa.
Block/Roof_TJunction_Wood;Text;;Wooden T-junction@Covers your head.;Miếng T gỗ@Che nắng che mưa.
Block/Roof_XJunction_Thatch;Text;;Thatch X-junction@Covers your head.;Miếng X tranh@Che nắng che mưa.
Block/Roof_XJunction_Tier3;Text;;Solid wooden X-junction@Covers your head.;Miếng X gỗ kiên cố@Che nắng che mưa.
Block/Roof_XJunction_Wood;Text;;Wooden X-junction@Covers your head.;Miếng X gỗ@Che nắng che mưa.
Block/Rug;Text;;Rug@Reduces splinters in your feet.;Thảm@Dùng để chùi chân.
Block/Sail;Text;;Sail@Can nudge you in the right direction.;Buồm@Có thể đưa bạn đi đúng hướng.
Block/SaltPepper;Text;;Salt and pepper shaker@Neccessary if the chef is skimpy.;Bình lắc muối tiêu@Cần thiết cho mấy cha đầu bếp lười biếng.
Block/Scarecrow;Text;;Scarecrow@Keeps seagulls away from you crop plots by distracting the attention with its beautiful body.;Bù nhìn@Đuổi lũ chim khỏi vườn của bạn.
Block/Scarecrow_Advanced;Text;;Advanced Scarecrow@Keeps seagulls away from your crop plots for good.;Bù nhìn rơm xịn@Đuổi lũ chim còn tốt hơn cái kia.
Block/ScrapMechanic;Text;;Scrap Mechanic duck@An old plastic duck. Seems to originate from the game Scrap Mechanic.;Vịt cơ khí bằng phế liệu@Một con vịt nhựa cũ. Có vẻ bắt nguồn từ game Scrap Mechanic.
Block/SetFortified;Text;;Fortify@;Gia cố@
Block/SharkTrophy;Text;;Shark trophy@In memory of the struggle...;Chiến tích cá mập@Tưởng nhớ cuộc đấu tranh...
Block/Shelf;Text;;Shelf@A shelf to place things on.;Cái kệ@Một cái kệ để đồ.
Block/Shelf_Large;Text;;Large shelf@;Cái kệ lớn@
Block/Sign_LiveLaughSail;Text;;Live, laugh, sail@An annoyingly perfect sign.;Sống, cười, chèo thuyền@Một bảng hiệu.
Block/Sign_RaftSweetRaft;Text;;Raft sweet raft@An annoyingly perfect sign.;Chiếc bè thân thương@Một bảng hiệu.
Block/Sofa;Text;;Sofa@Comfy and elegant.;Ghế Sofa@Thoải mái và thanh lịch.
Block/SpiralStair;Text;;Spiral stair case@A fancier stair.;Cầu thang xoắn ốc@Một cầu thang xoắn ốc.
Block/SpiralStairHalf;Text;;Half spiral staircase@A fancier half stair.;Cầu thang nửa xoắn ốc@Một nửa cái cầu thang xoắn ốc.
Block/Sprinkler;Text;;Sprinkler@Waters your crops automatically. Seems to be missing a battery though.;Vòi phun nước@Tự động tưới vườn cho bạn. Coi bộ cần pin để xài.
Block/Stair_Tier3;Text;;Solid stair@Great to get from one floor to another.;Cầu thang kiên cố@Dùng để đi từ tầng này sang tầng khác.
Block/Stair_Wood;Text;;Stair@Great to get from one floor to another.;Cầu Thang@Dùng để đi từ tầng này sang tầng khác.
Block/SteeringWheel;Text;;Steering Wheel@Allows you to rotate your raft. Extra useful in combination with an engine.;Bánh lái@Cho phép bạn xoay chiếc bè của mình. Cực kỳ hữu ích khi kết hợp với động cơ.
Block/Storage_Large;Text;;Large Storage@Used to store a lot of items.;Rương Lớn@Chứa được rất nhiều đồ.
Block/Storage_Medium;Text;;Storage@Used to store more items.;Rương Gỗ@Chứa được rất nhiều đồ.
Block/Storage_Small;Text;;Small storage@Used to store items.;Rương nhựa@Dùng để chứa đồ.
Block/Streamer;Text;;Streamer@Useful for knowing which way is forward.;Lọng xem gió@Hữu ích trong việc xem hướng gió.
Block/StringLight;Text;;String light@Sets the mood.;Đèn dây@Trang trí cho đẹp.
Block/Surfboard;Text;;Surfboard@Somebody got unlucky.;Ván lướt sóng@Ai đó đã không may mắn.
Block/Table;Text;;Table@A table to place things on... Or under. Goes well with a chair.;Cái bàn@Một cái bàn để đồ lên trên... Hoặc dưới. Đẹp hơn nếu có ghế.
Block/Table_Small;Text;;Table@A table to place things on.;Cái bàn@Một cái bàn để đồ lên.
Block/Tablecloth;Text;;Tablecloth@Fits perfectly on a table.;Khăn trải bàn@Sinh ra dành cho mấy cái bàn.
Block/TangaroaPlant;Text;;Tangaroa plant@A decorative plant from Tangaroa.;Cây Tangaroa@Vật trang trí đến từ Tangaroa.
Block/TemperanceCutlery;Text;;Temperance cutlery@A useful spork and plate.;Dao đĩa Temperance@Một con dao và đĩa hữu ích.
Block/TemperanceMug;Text;;Temperance mug@Cute design!;Cốc Temperance@Thiết kế hay phết!
